,0,1,2
197,4.75,17,"[26, 27, 28, 29]"
198,3.5,17,"[46, 47]"
199,1.75,36,[12]
200,5.0,17,"[35, 38]"
201,3.25,16,"[14, 17]"
202,5.5,9,"[36, 39]"
203,3.0,13,"[19, 29]"
204,3.5,8,[32]
205,4.75,15,[32]
206,3.25,18,"[19, 29]"
207,3.75,29,"[33, 36]"
208,3.75,6,"[25, 28]"
209,3.75,30,"[32, 41]"
210,3.25,38,"[29, 32]"
211,4.5,34,"[16, 19]"
212,3.25,17,"[31, 34]"
213,4.0,46,"[11, 14]"
214,4.25,26,"[17, 22, 25]"
215,2.75,40,"[29, 42]"
216,3.25,13,"[15, 47]"
217,1.75,16,"[19, 25]"
218,1.25,25,"[31, 34]"
219,3.5,13,"[11, 14, 17]"
220,3.0,11,"[32, 35]"
221,3.25,38,[15]
222,3.25,22,"[34, 45]"
223,3.25,24,"[14, 17]"
224,2.75,8,[26]
225,4.0,21,[12]
226,2.5,18,"[21, 31]"
227,3.0,20,"[11, 14, 17]"
228,4.5,6,"[32, 38]"
229,2.5,64,"[24, 47]"
230,2.5,36,"[12, 41]"
231,1.5,65,"[16, 31]"
232,1.75,28,"[19, 21]"
233,3.75,20,"[33, 36]"
234,1.5,21,"[16, 19]"
235,3.75,11,"[23, 32]"
236,1.5,24,"[45, 46]"
237,2.5,18,"[12, 23]"
238,3.5,19,"[33, 36]"
239,2.5,31,"[16, 26]"
240,3.0,20,"[15, 18]"
241,3.0,32,[37]
242,2.5,25,"[41, 44]"
243,3.0,12,"[13, 16, 31]"
244,3.75,14,"[21, 24]"
245,6.5,22,[15]
246,2.0,11,"[21, 24]"
247,4.0,16,"[18, 28]"
248,3.5,9,"[35, 38]"
249,3.0,14,"[23, 26]"
250,3.5,28,"[14, 46]"
251,2.0,15,"[23, 46]"
252,2.0,33,"[35, 38]"
253,3.75,16,"[34, 37]"
254,1.5,39,[12]
255,2.5,12,"[32, 38]"
256,3.0,23,"[34, 35]"
257,4.75,13,[35]
258,2.5,14,"[36, 39]"
259,3.5,10,"[11, 29]"
260,5.0,21,[14]
261,5.0,22,"[23, 26]"
262,1.5,51,"[33, 36]"
263,4.5,13,"[16, 19]"
264,3.25,27,"[16, 19]"
265,3.25,9,"[32, 47]"
266,4.0,16,"[12, 31]"
267,6.0,8,"[33, 36]"
268,3.25,16,"[12, 15]"
269,4.5,24,"[21, 24]"
270,6.5,6,[37]
271,3.5,9,"[11, 14]"
272,4.0,32,"[22, 25, 28]"
273,5.25,13,[25]
274,5.25,5,"[23, 26]"
275,1.75,46,"[14, 39]"
276,2.75,30,"[29, 45]"
277,2.0,19,"[33, 36]"
278,3.75,8,"[24, 27]"
279,2.5,8,"[34, 37]"
280,6.5,3,[36]
281,1.5,11,"[32, 41]"
282,1.75,15,"[32, 37]"
283,3.25,18,[33]
284,3.5,9,"[24, 44]"
285,3.75,17,"[13, 16]"
286,2.25,12,"[26, 47]"
287,5.25,6,"[33, 36, 39]"
288,1.5,21,"[21, 24]"
289,4.75,13,[37]
290,4.25,17,"[24, 27]"
291,1.5,12,"[44, 45]"
292,3.0,27,"[28, 34]"
293,3.0,19,"[13, 41]"
294,3.25,22,"[19, 41]"
295,2.25,15,"[15, 25]"
296,2.5,12,"[12, 15]"
297,3.5,27,"[34, 37]"
298,1.5,14,"[21, 24]"
299,1.5,27,"[14, 17]"
300,3.25,11,[27]
301,1.5,22,"[23, 26]"
302,1.25,21,"[14, 15, 17]"
303,4.75,9,"[21, 24, 27]"
304,3.0,38,"[26, 29]"
305,1.5,44,"[12, 13]"
306,2.0,11,[32]
307,3.5,11,"[33, 36]"
308,3.25,14,[12]
309,5.25,16,[12]
310,5.25,7,[17]
311,3.75,17,"[32, 35]"
312,3.5,12,[15]
313,2.75,40,[12]
314,1.5,21,[16]
315,3.25,15,[13]
316,1.75,23,"[23, 26]"
317,5.5,5,"[31, 34]"
318,4.75,34,"[21, 24]"
319,3.0,28,"[31, 34]"
320,1.5,9,"[33, 36]"
321,1.75,39,[25]
322,3.75,15,"[22, 29]"
323,3.0,8,[18]
324,7.0,3,"[31, 34]"
325,3.75,27,"[33, 36]"
326,3.75,36,"[24, 27]"
327,1.5,12,"[22, 25]"
328,3.25,27,"[15, 18]"
329,2.5,13,[25]
330,4.0,7,"[33, 36]"
331,2.5,12,[26]
332,4.75,17,"[16, 19]"
333,5.0,12,"[23, 26]"
334,3.0,24,"[21, 24, 27]"
335,3.0,23,"[42, 45]"
336,3.0,17,"[15, 34]"
337,3.75,9,"[15, 18]"
338,2.75,22,"[26, 31]"
339,2.5,15,[13]
340,2.5,14,"[22, 25]"
341,2.25,15,"[13, 16, 39]"
342,5.0,5,"[14, 17]"
343,2.0,19,"[16, 42]"
344,1.75,12,"[18, 46]"
345,2.25,32,"[42, 44]"
346,2.25,26,"[21, 24]"
347,0.75,20,"[36, 46]"
348,3.75,33,"[36, 39]"
349,3.75,12,"[36, 39]"
350,1.75,28,[18]
351,1.75,15,"[34, 37]"
352,3.5,24,"[26, 29]"
353,4.75,12,"[33, 36, 39]"
354,4.0,7,"[14, 17]"
355,4.0,14,"[11, 14]"
356,1.5,18,"[16, 19]"
357,4.0,18,"[11, 14, 17]"
358,3.25,23,[16]
359,1.25,20,[17]
360,5.5,4,"[27, 39]"
361,1.75,20,"[34, 37]"
362,1.0,20,"[11, 14]"
363,6.75,9,"[32, 35]"
364,2.0,30,[17]
365,1.25,41,"[38, 44]"
366,5.5,14,[13]
367,1.5,30,[12]
368,4.25,13,"[21, 24]"
369,3.5,18,"[22, 25]"
