11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,Grand Total
1911,3532,3617,3815,3662,3668,3381,2669,1763,1877,3568,3474,3741,3692,3604,3415,2667,1721,1925,3568,3432,3705,3742,3562,3409,2617,1742,524,454,465,489,473,488,476,86848
758,1384,1596,1666,1686,1748,1764,1074,759,793,1478,1494,1706,1625,1675,1743,1186,717,808,1447,1506,1674,1700,1732,1655,1138,715,56,70,68,62,88,65,81,37717
318,336,351,412,395,443,468,347,304,292,303,385,422,402,448,471,388,303,346,328,358,420,456,453,459,315,316,32,36,28,21,35,26,19,10436
160,78,86,102,108,94,109,132,176,147,92,97,104,102,110,110,132,167,159,91,111,107,106,103,109,127,191,18,18,15,16,15,11,19,3322
